L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
771448051,1519,300838,583276,41014147,1065344,331251,72358,1055739,627933,22513945341,53149187530,6000302308
737092341,2096,302029,751628,39761306,986547,304721,56327,1020533,793124,22529949177,53354193957,6000276024
765591082,1547,304884,1001399,54745593,1061087,283866,79733,1029505,439235,22513970004,53983026949,6000407150
431782240,1539,190008,386738,14148323,656021,224481,21105,657426,418133,12692258462,29618828126,3387724343
633664714,7611,789143,802384,41121307,876193,261060,268132,828184,31353,18768637664,46573859694,5000107001
622226928,1384,282271,655566,45486463,806968,223341,53901,817385,750340,18756662963,46763328195,5000310059
678949808,1119,275130,850835,38673667,921811,272399,55363,899142,321478,18740512000,46402860409,5000376951
658148846,1316,264930,785565,36146298,891130,268536,54027,911655,490032,18778544113,47072976711,5000380411
645886797,1038,268606,497543,37399792,935335,281081,69682,932726,635335,18769747298,46837552535,5000388343
162802444,696,70153,221404,5027656,226128,73995,9769,243330,213309,4046053095,9804246920,1075423311
