L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
779964,309,278613,606,1695648,94071,54450,122,98543,238,175023707,287373470,50275654
804871,291,242032,301,1657750,97609,60253,126,102379,587,177313392,281761472,50455208
750352,148,243878,346,1652704,109736,61728,125,98945,323,175757014,297158527,50299811
765850,268,287547,449,1776724,102342,65893,191,93085,304,184606862,314428187,50302811
749080,238,276297,315,1716632,104866,62375,188,102069,421,186242900,315281302,50297144
762373,224,278318,360,1641483,96171,57644,220,98978,412,187315834,306456144,50400873
663986,345,254924,297,1594311,94805,53473,146,87012,314,175873748,298512287,50304673
639319,408,273906,1114,1595868,115489,60093,192,85738,405,169296494,293063919,50262719
751703,303,357938,569,1622045,93504,50674,159,106749,823,171532868,270703201,50276754
758920,269,340370,772,1682601,96476,46030,159,102015,993,167951234,268877288,50259842
615170,201,282193,1718,1676363,107765,46741,123,95041,3197,165086025,275827258,50289990
738275,215,335845,847,1677129,110793,55905,151,111176,1247,169483751,270835862,50306324
733647,270,354594,521,1610097,89135,48305,131,102753,940,173687483,271118772,50265485
751749,306,288230,817,1604567,104341,54132,158,98657,390,175659699,273146318,50312866
737626,290,308037,620,1697475,103928,55125,238,97484,585,176511775,274959766,50307797
759924,307,354454,754,1744635,106696,62922,141,93919,744,181590638,287084461,50299577
725409,287,387565,566,1774437,106133,63525,147,119003,1375,174846274,267825432,50287842
706421,286,415317,1326,1688475,119425,54046,110,118437,694,175389561,265377986,50312122
712597,273,419740,716,1726459,122218,57280,72,116845,1104,175940869,261563874,50338627
754366,308,492972,757,1709514,111442,59987,144,114946,572,183839154,274275096,50286102
791187,286,504912,608,1791525,107326,62239,147,107382,587,184423714,280438704,50304491
742547,338,398376,476,1635600,127754,62286,150,111863,688,182307763,285495787,50291198
755423,258,387267,572,1790492,91475,60166,135,89898,229,182105061,297805872,50291968
766471,373,317606,549,1725787,106072,52942,119,93616,508,182995507,298258894,50284458
752867,343,332269,521,1763922,93664,55181,201,101928,327,181738129,296540715,50338566
758787,337,284009,403,1734797,95520,57817,141,104688,361,184158470,299745146,50324350
811257,272,291499,602,1824537,107587,62987,179,103685,282,187943149,311343852,50298894
791192,295,320277,359,1725613,100051,66572,169,98736,638,189169543,319407864,50299924
755592,142,254747,230,1720903,93111,64770,192,94695,358,189857236,326473947,50307340
793318,152,286171,347,1841405,89774,63565,181,94859,411,190390664,325367226,50294467
785345,85,329747,471,1781583,88061,59994,198,87861,296,189915853,328689921,50296588
791555,333,218102,280,2011357,100372,64905,148,98802,346,186305631,310197062,50304429
815218,100,284436,475,1852913,88974,55159,85,97330,258,186223169,317366499,50292255
771611,337,305382,490,1671871,101697,63606,167,103340,316,186875471,310922337,50298528
764882,176,239069,199,1783889,96288,64555,149,96043,175,189789294,325319762,50308672
807475,262,317214,515,1833848,94180,62327,201,102660,1234,189030937,315288627,50294707
823318,133,414454,517,1936422,99534,68980,132,105830,714,189276827,304270800,50295376
805445,177,417734,571,1960864,107160,69317,154,101934,362,189236486,305592160,50309464
815599,80,390420,485,2026327,97942,68712,132,100524,562,188902912,305744354,50300611
822336,153,368062,480,1952817,96462,66637,216,103528,691,188761534,299646246,50299282
812628,179,375817,657,2002308,98564,70864,179,102991,493,189261771,301837141,50310139
832706,248,364800,533,2056674,106573,71320,179,104885,556,189517021,297841903,50298554
799451,158,376341,552,2016028,95123,67462,135,94711,433,189598248,304730248,50313391
810711,239,377417,420,1939031,104377,68657,119,106980,537,188912477,298965034,50297270
811925,256,407807,682,1978290,112770,69255,160,112035,738,189220261,296313247,50298969
801699,259,391956,501,1889074,122605,66861,141,116786,669,189117946,290830777,50300653
807218,186,394095,696,1963400,113350,71201,166,110963,389,190138409,302140218,50303371
750732,155,339972,587,1919099,107003,69004,177,109193,389,190420283,305125112,50301674
825491,194,344091,503,1956063,101962,69870,217,105541,311,190467865,307622616,50313684
840958,121,347971,381,1975404,95674,63157,151,89910,681,190302933,312646461,50296751
853000,174,336853,314,1924884,93761,62102,129,95923,676,190516660,315411266,50325350
783670,169,332467,513,2023564,93633,60942,161,90503,304,188330965,319398006,50337296
815649,138,286837,136,1954107,85401,59164,159,88411,189,189522808,316981615,50299201
814193,280,289904,289,1891588,96446,68852,134,96290,241,188412443,315233480,50296062
828167,279,317979,272,1967623,86692,57418,147,90331,291,186416142,304187296,50306225
813916,204,338108,276,1966912,70835,60016,194,81930,241,185903738,303418036,50294012
783300,206,388362,350,1947530,76318,51290,78,102604,568,178840960,288382785,50304683
709634,253,358526,915,1649280,111154,53594,144,107516,1150,174183348,275684290,50376326
721255,288,356557,1077,1643359,109733,50886,179,111436,701,179732853,278381006,50341570
774344,405,462680,819,1705456,116401,58799,223,120550,768,180121804,266891763,50351739
752019,395,415748,939,1769398,102287,49833,122,105868,384,181947507,282911369,50381443
706608,275,369897,447,1723704,96373,52932,147,97112,342,182045767,289027455,50292685
774182,275,348864,466,1667970,93844,57290,88,93178,194,185750476,304992684,50306481
823721,277,316829,636,1823707,87798,61254,254,78344,191,187584772,314437534,50293622
837970,282,299559,382,1794904,83324,65778,217,98013,594,186522292,301273545,50332867
804305,296,325549,371,1821148,80436,61198,251,88122,678,187277623,309286513,50266777
787869,356,322802,367,1772460,83943,59140,213,88474,377,187048325,311330508,50324125
761553,178,267403,246,1799566,89210,61572,270,98843,333,190529124,324607408,50329891
746195,228,361858,632,1816806,107557,58856,170,84213,138,190263232,329946172,50336905
814060,153,244292,253,1778307,101408,60269,162,107562,226,189576311,312516835,50323085
746580,144,254969,293,1732905,87636,59082,156,92001,163,190398958,329732901,50374534
767749,186,304190,360,1768398,89357,58271,170,88081,242,189498394,317814586,50299976
758217,73,284834,260,1857711,95805,63907,151,93837,324,189489524,323454440,50328479
765869,121,262532,251,1913767,84616,60411,151,92127,343,189770289,327938077,50309447
771859,73,293198,264,1780502,91770,64261,222,96196,208,189926726,324755436,50326023
759492,266,341654,331,1803667,89926,64356,242,87576,296,189189109,327747681,50293443
791389,294,278202,318,1833489,89594,64568,166,90021,310,189687835,319320652,50335372
767612,168,334676,584,1917655,103400,64534,163,97847,343,189461823,324654204,50296783
769060,162,360259,372,1868044,96985,66751,220,97847,583,188825282,319692223,50332085
750688,223,233182,336,1786239,96383,64432,185,93236,169,188550325,324323179,50307379
689361,315,280939,149,1862791,99034,63624,163,115461,736,181890624,299414668,50325351
743539,350,288148,133,1747754,83408,55784,132,87814,157,186311626,311145168,50292974
747336,388,377306,355,1746125,105897,62385,163,96829,254,184349460,302406702,50358328
741830,311,398829,583,1682059,105280,53390,157,116876,1264,179841489,279238810,50326638
