L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
56030971,20908,1777186,868224,35644720,20340427,13297715,250881,807294,20386969,5177745462,3876559933,2514695256
50612538,30627,1573757,796017,31802848,20622320,12727615,263886,784810,20308756,4834842945,3224362172,2521769248
56779134,30884,1475661,836907,35487796,21543942,14028067,278367,942164,21381431,5041962598,3633135985,2500664551
52755758,25300,1652796,813343,32481876,19913995,12954942,266560,782416,20518535,4912440495,3313594400,2506290227
66326820,13240,715197,955389,44066109,21385488,16362085,289820,1071882,21646084,5688532941,4704477802,2500681758
57857325,24853,1450000,888442,36200103,21361984,14196383,282906,919946,21676901,5270466127,3667364296,2539616098
19603833,5234,509737,3690159,77789334,4232361,2706781,533520,1038354,4558281,5146536379,6215017531,2010591736
54923538,7837,1546239,929887,81809263,5489180,4682706,1899791,932159,5304916,8185897645,13684753079,3000076234
70684840,20758,2525353,605563,69527163,11788980,8055701,207674,593385,11832079,7561743742,10215389758,3001117215
84690466,16380,1576936,425331,93924319,13690562,10383260,225112,431621,13131321,8039382786,10273193734,3000718864
108466384,8344,718988,358384,77485284,5376695,3020420,131266,313011,5273932,8289829920,15803890292,3001182070
125131475,8239,828201,331645,74455793,7823122,4505301,168084,356196,8224489,8336301592,14894346796,3017679089
93458030,12415,1605447,485502,93432361,18432348,13931623,252714,427475,18328217,7960599519,8238600719,3000765537
70922033,19976,2291705,704759,68617318,18241625,10888976,221554,714102,18435467,6783493225,5712003690,3001445627
74237708,16776,1471835,869083,80490275,11959967,6796524,155275,870512,12093820,7447440250,10245960265,3000578161
81155685,6727,953291,1304536,91410766,15202212,11311350,327251,2868670,15247723,7834018594,9272624949,3000556858
57602538,13303,1075762,858487,55093784,15991040,10928751,2025568,449680,15984328,7548106779,8817295631,3000735453
81433299,19394,924651,1222948,51664111,26497262,19871463,683393,1212617,26123885,6821812371,5285797356,3000710470
82088191,17464,779996,1214943,54205468,26067878,20142496,668302,1184409,26023420,7012317304,5737405036,3001389733
77381704,26647,1012561,1166833,48905729,25587371,18765729,644326,1113205,25449218,6723763624,5022696083,3000742980
