L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
170343784,4786,25017727,22,8041001,388,1938,41,300,0,3007070973,7384038868,800264444
34126706,1409,4984815,399,1127102,25,261,3,344,17,573504218,1441136388,153076367
145057909,8321,16132330,1112,13299968,4594,2098,59,2022,137,3369013200,8098460250,900103267
179518434,5628,24579096,0,13581699,411,3264,57,86,6,3391131027,7888206602,900293150
183423645,5419,25719205,0,11198434,426,1777,18,123,0,3385741004,8080844709,900263889
138503197,4261,20678347,77,5619822,26,2128,46,2388,517,2404862439,6000865588,639404001
165055989,9074,18813345,560,14862778,4011,4360,86,327,5,3753654126,8970603904,1000101382
197892002,6786,26714979,405,14716092,3875,3983,250,3167,15,3760731201,8695255854,1000276655
207861035,6207,29565291,0,11325048,92,1950,15,585,0,3762085129,9053333084,1000280495
79533296,2797,11765088,851,2943222,172,1005,18,133,32,1363052892,3376871565,363727073
205998703,10861,24742604,274,17275517,3389,4746,372,3291,288,4491118373,10614756020,1200102941
239928076,7810,32227432,3,16640510,432,3912,54,93,6,4505800614,10597787833,1200301201
204174066,6815,30448714,350,9285428,77,2720,59,65,0,3585439079,8834517192,953730399
264758537,13064,33065317,835,22677851,9478,5750,114,2643,93,5621794066,13286988348,1500101904
307466464,10636,43232388,30,18825509,1852,6487,267,2853,57,5626206124,13416443235,1500297242
79838982,2879,11998225,408,2952759,29,1215,33,64,11,1365734829,3391553345,363239086
366245761,15351,45331694,182,29861843,3121,7598,238,354,0,7518940653,17734484490,2000103883
286212837,10044,40709228,142,13950195,1456,3419,81,6080,1222,5052479721,12342196477,1345143041
463742068,178878,59847877,2348,34540814,30711,3861,135,7526,519,9358380414,22032435298,2500102063
187875056,49042,28429678,94,8299736,221,1118,32,2981,453,3331507936,8148507751,885807339
574379855,20921,75367975,522,41012647,6106,14192,146,4172,211,11242346770,26775590407,3000100833
77334964,2646,11348924,106,2838390,266,597,29,116,897,1310571769,3274867212,351696862
650112906,28452,87196915,1147,44144202,10316,11564,346,3583,164,12574527124,30130045142,3350318274
647884895,27079,86576470,765,44236969,3438,9833,191,892,5,12607403091,30073040777,3355037042
650258929,22664,86805292,488,43680407,7984,14007,125,3694,492,12561836224,30132490358,3343152775
647785425,24132,86974436,765,44194892,3688,7786,224,1902,59,12606079770,30090242801,3355687706
4814667,2701,436600,1031,484717,11303,747,6,130,3,170203148,469349753,50113266
5263867,212,175331,0,378381,34,138,0,0,0,188946099,510758223,50309775
5560501,220,158710,17,426539,55,81,0,3,0,189432806,513108077,50260313
7090664,240,442764,0,568691,509,162,40,383,0,188461525,482581304,50246832
8013237,351,784245,0,815404,101,178,9,37,0,188989092,448391071,50252361
8207460,322,824971,0,802120,11,143,0,18,0,188784531,440832361,50254959
8187095,372,852798,0,758368,13,217,0,28,0,188117291,444790886,50250547
8643574,356,869680,0,738364,2,230,2,0,0,190391748,450022947,50287542
8468145,435,862763,0,844568,0,198,2,0,0,190239575,438748084,50248295
8544236,370,900640,0,804680,12,107,0,8,0,189475054,436853891,50246099
8434769,364,923325,0,812847,6,116,2,8,5,184212007,423469205,50253414
8507043,467,1006369,83,749102,659,179,0,261,0,189778438,440783455,50278451
8911595,404,1064214,0,819412,411,210,8,398,0,187914582,435092416,50290119
9195409,401,1145843,0,785128,65,119,3,8,0,189991601,434811415,50269741
9180971,356,1121459,4,728798,1017,285,6,4786,404,184446075,429259501,50251350
9498436,371,1203711,0,715680,116,163,0,72,5,186137555,426245994,50259434
9575478,344,1316820,58,693698,43,182,0,43,73,185769946,423293651,50261598
9596329,399,1271934,304,692874,1052,289,3,251,43,186336087,421479249,50263886
10016433,376,1372540,3,704884,31,213,3,15,0,189902377,435857311,50268229
9919836,390,1419165,9,741444,12,131,3,3,0,188104601,431168821,50257633
9661233,396,1392087,0,687427,6,144,0,59,0,187351540,428152774,50247363
9961038,417,1408166,0,702803,40,128,0,9,0,188771274,435797484,50257743
10141647,423,1452871,0,725868,0,144,3,6,0,189321193,436758759,50246791
9720452,397,1384457,13,702031,8,317,28,1702,207,181537908,417888150,50249220
9931359,347,1364326,0,698255,24,320,12,179,0,188837644,434064775,50268962
9960272,324,1385003,3,726147,30,224,0,9,0,187347877,428961145,50254325
9952682,320,1337034,0,744939,16,245,0,3,0,190259050,438452354,50253169
10111455,337,1354166,0,751336,0,255,0,0,0,190180090,440230287,50253208
9879742,410,1264273,0,770974,8,366,2,2,0,189053229,433560097,50246258
9891698,429,1297132,0,756505,0,170,2,2,6,189932374,432290012,50245913
9902181,333,1268247,0,766543,0,211,10,2,0,189782444,438415582,50322908
10070658,349,1232331,0,690696,0,137,0,0,0,189652825,440917823,50248259
9979039,330,1356588,0,696899,411,206,2,0,0,189594543,441582615,50248306
9972271,365,1288690,0,703793,0,72,0,0,0,189632521,440914004,50253599
9873304,333,1265125,0,749218,0,326,3,0,0,189404376,438377193,50249566
