L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
27003637,41857,6940478,85159,2839,329882,24671,1574,170556,195072,186316911,287589085,50297350
26296491,23108,7365632,681068,1717,74299,9680,4713,109939,136704,187964363,261358625,50348889
34133433,19958,2127240,85,4448,263283,53573,9537,85949,161025,189680304,285995307,50300742
23193814,4837,341959,83568,27382,73690,12173,46016,388947,1656270,182133452,274959395,50304755
28718046,48563,15506497,260524,3168,83872,7415,2118,282318,82227,188176680,276925920,50298584
31218007,15418,1485598,45245,27208,126428,26897,17682,143729,819471,189937127,270069813,50313588
29879648,38566,10908512,251861,2232,215470,10835,628,344410,17963,188574792,268791075,50312321
23861883,25879,4623226,80241,15060,153209,20974,17883,89287,248707,190032710,282404893,50311042
27180860,25564,8324096,180268,3484,272878,12744,0,343094,239,188501271,256047811,50345397
20825447,397,122657,148435,12272,150716,18254,1960,73914,100261,189364674,289065741,50348590
22939896,43610,7663742,1229178,21731,317598,3748,3383,86372,249520,189763392,274544464,50322189
21486751,11341,2317157,82686,3164,329832,10770,0,315615,380,182656621,203263077,50331077
24046048,53822,9198559,643624,8642,194868,17384,3091,85753,242782,188620089,272909267,50315753
23859718,2891,2351222,85806,6131,292741,12663,3,314221,330,188488129,225357398,50303378
23017331,57397,11531069,187051,8190,205077,19925,17623,95215,230447,184151618,262579972,50262479
28508918,203,160807,70049,20904,194657,10413,490,313866,349,185241843,219034472,50316765
22041621,29,289700,193493,29576,157972,21434,6297,214416,157778,187166179,286043318,50305769
26063278,63925,14449317,249498,31781,382398,24459,31111,387102,996583,189209581,284229010,50698840
30025554,482,13479,584352,11806,200821,20607,873,312956,84,188630815,276118323,50318345
24552514,62237,11835894,171716,3245,319866,10200,2043,125909,225603,179910236,282523395,50298304
28474574,1424,2408660,626555,7348,84567,6390,2079,241736,54100,188023248,253450384,50345604
27581778,42496,7257255,83041,3051,337403,40010,1545,177042,191102,189518314,288527391,50330160
26390032,377,265928,109694,4750,73645,4014,14508,99952,231325,189432243,246297858,50328678
19944263,41298,12292078,242129,1638,92098,3721,5915,150925,1724176,188597629,256191664,50343050
32132321,3543,6348,216,21849,210961,42642,10649,209420,714436,186720397,273321031,50324296
29173336,46048,12918277,258240,1644,87302,5435,2741,258789,103370,189079109,281768326,50308973
30226951,17545,2086718,35079,25343,125944,29942,20286,146443,815533,190018072,273526194,50333425
30718373,35978,10493949,239801,1650,154751,8794,1572,348217,1409,189566038,269042552,50309802
25007011,219,119690,59781,26492,135596,24923,5808,138284,90966,185677133,292877856,50288763
23749232,34406,5377753,284426,63224,390457,24926,28401,93789,238936,189732299,277937434,50309021
27803037,20766,6329023,163807,2712,225550,10297,260,318517,298,181424849,217006400,50295746
22270195,44743,7408439,147589,27475,178585,24709,17362,179644,961877,187924968,259924578,50314730
30309877,10243,4115183,121448,1744,149430,8003,1423,321690,286,189690147,227223134,50366672
22481242,56386,9564493,177335,22200,164604,17082,19224,221999,921298,186212609,260983333,50330370
30651098,18,1902311,75183,1817,114946,6057,2434,259067,44430,189192655,231002932,50319092
22771249,224,344976,106786,20425,133806,30689,8845,249211,133866,189405564,287458443,50342085
23929055,63544,13898769,224629,23726,79680,13310,46620,385498,1879936,189355743,263553071,50309186
34831698,295,13722,57003,21314,93312,11286,1896,322147,69,190151258,286602911,50293735
25906147,63458,13939803,214053,6805,269792,20942,15355,83888,228962,189139370,298359392,50302729
29254216,450,839803,620425,8154,183591,8611,1217,308507,116,189363856,247688664,50311204
26356870,50139,8638558,112561,2906,311058,10660,2089,138640,241171,190193673,300976146,50328320
25460835,658,195287,102994,2489,73969,12556,1495,169255,75213,189090495,269908239,50292857
17489762,33506,11252924,913670,1643,84119,3796,10526,78618,790870,187449345,219572647,50288343
31540158,12221,447182,251,2314,310209,39715,9151,93433,141084,189426472,250534721,50309636
26873676,39979,12139935,242693,1659,86339,3866,3634,138734,824092,187924439,287601699,50300431
32524209,3255,7426,278,21449,200450,50847,10772,180059,711604,189176104,275488699,50261316
29213175,45084,12898895,257545,1660,87023,5587,2732,258763,99096,188849485,279465655,50314067
29346135,72,73887,35462,25126,125910,29063,9024,146574,118042,189855664,292080186,50307134
23558448,24022,3600106,214965,64875,400762,24347,33278,335553,213606,188864057,282073523,50300654
28145410,30497,8308462,202784,2257,184814,9076,870,347841,267,188414476,234989299,50302886
24638278,35738,5445154,105198,27195,170361,25924,17339,188694,956440,189068445,258944825,50296610
29365599,19993,6180889,161073,1603,140605,7737,1572,312726,207,189361011,228297717,50306074
23681043,46854,7772163,139201,25013,166269,16738,19719,225245,914927,189725357,266984634,50318425
30481378,9684,3940053,115141,1662,84549,6044,2432,255710,45444,188790480,229904447,50292189
20601644,270,263126,85803,19235,173161,32707,8791,253921,127600,177004996,266096651,50293085
19505489,51873,11975857,198250,1965,98391,3435,25915,397624,1922008,183952717,220100785,50279344
33581668,81,753514,56699,12534,121310,6428,3065,246687,72884,178249421,255914704,50312901
23446646,59042,13091573,216253,33013,77063,25162,20777,132355,916826,181878725,273070519,50296957
37053212,150,12860,51774,24605,81396,11858,2284,277741,25670,179844622,275400418,50286943
26009157,63610,13953859,246855,3516,195235,21102,15496,130296,627738,187020870,287929412,50290226
29762081,421,13959,101733,16514,185828,19851,691,302518,50,189991495,275394131,50324107
19383331,626,2524365,1352151,2700,86683,3911,2771,75920,90738,190130503,273388524,50309932
26159850,43457,7665024,105792,2555,344770,10644,1492,183871,221661,189673599,288537300,50293421
24321292,16636,5477307,650405,2167,78317,4403,2700,155698,128389,187210639,257053507,50308243
25270757,33641,5653241,66030,2735,348198,38370,2876,202395,173919,184748137,264382545,50306989
27157395,23518,7430065,688567,3288,79019,3967,4124,75783,171032,189239408,262067785,50354734
31035937,15613,2688651,6960,2901,320369,49357,9455,131005,153544,188781366,250488213,50300124
19830373,5071,1287132,130474,2377,100303,3222,20758,401752,1691949,188817631,229772307,50303219
24701488,45490,10573765,226885,1584,84693,3624,3364,148589,156559,183853680,251910053,50297823
27247017,2365,452036,478850,2377,284849,38759,9645,164798,65939,188052421,216453601,50311752
25440947,46436,9381607,181374,1584,84457,3679,3436,84927,230484,189017719,257842139,50316755
25777866,3366,668012,496454,2245,308929,46627,7388,177655,76823,188843646,218182121,50257082
25504714,45878,9113698,162851,1571,86148,3775,3602,85852,252583,189430811,260077392,50302044
21132831,520,22752,60282,2293,315660,34329,3257,212989,61063,174761050,197572304,50289456
15544278,11643,2635435,1179337,2596,88497,3318,1754,97680,165825,185168449,230430913,50313108
30615517,29491,6587971,109739,2317,86203,4010,3828,74198,243179,188903920,291878349,50316301
28734996,42110,10770903,163309,2743,271986,40900,9721,128340,866756,188907759,269664012,50317882
36538892,813,485194,44334,5476,129357,10141,3838,178495,126928,189646961,290375881,50323806
24678389,63676,13851737,245108,19273,87995,18702,22714,133718,918581,189618589,295656929,50321471
33786670,318,12010,52984,21072,143746,13713,2201,344274,37,189639009,288170869,50293998
22406211,740,198102,1359680,38102,411804,16731,4886,78515,82648,190138396,322651331,50331035
25290979,56683,10496752,162776,3150,293871,8941,2394,118874,262612,189448246,291942851,50301556
27620879,2208,2550893,627531,7493,99893,6467,1864,272370,50852,189661982,239564750,50292894
24613025,42017,7226852,100432,2345,357823,10640,1432,187479,211932,187089377,275408720,50295999
25015210,3131,2787473,629427,7976,77020,4347,2781,179638,120293,186062867,233579009,50301177
24182252,41254,7126461,95609,2518,350274,12376,667,240434,145889,189105908,276736324,50307326
23789467,865,153488,98521,2388,73221,3590,1901,112206,159689,186531546,262244413,50316272
17692163,33548,7149197,1340901,1569,86621,3720,3522,78746,210809,188384670,209509628,50325582
22216420,15777,3201527,34448,2213,317518,18858,515,236422,93070,185275364,204769652,50316058
24261089,29712,6178681,635470,1559,85949,3709,3423,85548,229455,185397547,263293898,50305106
21061210,19486,3776629,84075,2257,315716,10974,25,300162,38464,188266026,215489607,50298463
25829042,32130,6458924,609483,7450,95060,3753,3435,86157,252213,190145482,269787517,50391421
21468882,17252,3406018,102043,2758,318058,11267,3,322012,443,190351666,206551086,50326209
20636099,512,94247,182498,9252,172951,3666,1809,91743,111582,188643472,251985087,50297800
25750975,41103,8846695,1214419,2786,83775,4117,3758,75884,245539,189552860,298869853,50282591
27118117,21997,4862914,551898,2871,337191,33035,3958,233970,63983,189014090,258075597,50300457
33013749,18374,3987106,81777,2101,97267,4110,3912,73200,224371,187834263,290248395,50319432
27644752,48594,12073779,175985,6321,201021,53284,10416,138026,847410,183134902,278137637,50313529
38091372,81,143513,65051,18977,104160,6513,3378,218127,91238,189148214,288438549,50316011
23814513,209,293713,235824,60963,89703,28168,9081,134938,134030,188426183,315733488,50331472
