L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
55473998,78760,6000032,1902968,7731428,13542641,7104114,847093,1906669,13823206,2180320655,1371129381,1200920993
51670446,63962,6278256,1844216,7364536,12895157,6622979,803997,1834323,12847393,2184077247,1245378619,1200876050
74293217,45035,3856617,2322508,10059475,15960137,9769468,1182812,2325868,15980332,2479133850,1890054806,1200586134
43422912,83044,8071926,1623088,6858683,12370083,5468673,629636,1583645,11923025,2230866469,1004805730,1200729905
55205148,65558,6288170,1833107,7774772,13274500,6948002,833492,1832094,13446484,2281046765,1349122514,1201722715
44307095,74174,7130815,1697371,6541050,12038594,5670546,712469,1719322,12253993,2141280721,1073194277,1200989296
60498200,78168,5503166,2044336,8376135,14523778,8052629,969409,2012223,14221496,2283515364,1537954172,1200854531
57560829,77972,6927331,1982212,8495708,14186054,7737658,924185,1977891,14107553,2334019314,1435450532,1200988244
40681996,88498,7969171,1527809,5932405,11699904,5220729,626301,1568969,11697956,2111308978,951485311,1201272906
57395927,104590,6323483,1915262,7839832,13791094,7419796,876472,1917277,13977339,2226632973,1435476363,1201147329
71259587,93175,5283261,2344376,9906408,16027481,9431755,1149454,2363733,16159726,2455827234,1818789872,1200645338
55688621,89121,9284021,1957526,8849092,14259353,7496286,901795,2054017,14422624,2453360650,1352075484,1201362138
69027144,56516,4636508,2160703,9679298,15398551,9068556,1054077,2141025,15548630,2448680873,1760733765,1201464990
71494830,38923,3828913,2424555,9621189,15406539,9298112,1155148,2327955,15230028,2451138722,1804679852,1201159937
71500965,33009,3771619,2197173,9913567,15545621,9416431,1109242,2186650,15372454,2417638363,1843257335,1200679221
50817702,79904,5810380,1775910,7089473,13431891,6677594,793446,1824716,13481116,2150770922,1258042032,1200689662
50939949,80247,6416934,1958901,7598237,13597866,6652616,795702,1844592,13068643,2123522657,1205077287,1200898680
